mssv,namsinh,gioitinh,drl,diem_tt,dtb_toankhoa,dtb_tichluy,sotc_tichluy,diemtbhk_1,diemtbhk_2,diemtbhk_3,diemtbhk_4,diemtbhk_5,diemtbhk_6,diemtbhk_7,diemtbhk_8
0000AC05XPvAibaEXe9B2tolTZ0JLoBGbkQixQS6,19.0,0,93.0,30.0,7.91,7.91,62.0,7.79,8.28,7.56,0.0,5.9075,5.9075,5.9075,5.9075
0001EB57XPvAibaEXe/twT+sf632fUXnsgPGeB4G,22.0,1,82.10591293047433,26.05,8.79,8.79,129.0,8.84,9.0,9.11,8.75,8.54,8.74,8.41,8.77
00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,16.0,0,78.74455162558057,27.0,7.26,7.26,147.0,5.41,7.07,6.36,8.32,7.86,8.09,6.92,7.8
0006A0BBXPvAibaEXe/lMOwHQdw54DgUkWaqwb1u,19.0,0,96.0,30.0,7.27,7.27,26.0,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,21.0,0,78.33960814444872,21.8,8.08,8.08,136.0,8.85,8.64,8.41,8.05,7.46,7.28,8.55,7.24
000C4D39XPvAibaEXe8AohUVcWybLdGDVP9n1cLa,19.0,0,100.0,30.0,8.44,8.44,76.0,8.86,8.59,7.76,0.0,6.3025,6.3025,6.3025,6.3025
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,21.0,0,78.33960814444872,22.75,8.03,8.03,136.0,8.31,8.14,7.01,7.87,8.04,8.89,8.53,8.112857142857143
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,21.0,0,82.10591293047433,23.1,7.98,7.98,137.0,7.96,8.04,6.91,8.49,8.85,7.4,0.0,6.807142857142857
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,16.0,0,78.74455162558057,26.0,3.94,3.94,39.0,3.77,5.87,4.36,1.57,0.56,3.226,3.226,3.226
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,20.0,0,75.65553494124923,27.25,6.1,6.1,124.0,6.58,1.9,7.16,3.33,1.1,6.27,5.22,4.93
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,22.0,0,82.10591293047433,23.6,8.52,8.52,142.0,8.21,9.34,7.93,7.92,8.89,8.63,9.3,8.602857142857143
002A69EBXPvAibaEXe93Rc7cR6VrXDeNmDpqGjUD,19.0,0,81.0,30.0,8.34,8.34,98.0,8.6,8.36,8.68,8.08,7.5,0.0,6.87,6.87
003204ABXPvAibaEXe9xdgWKUYIYQz3YBlrS4yLi,19.0,0,73.0,30.0,4.93,4.93,20.0,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,21.0,0,78.33960814444872,19.75,5.02,5.02,86.0,4.99,4.42,5.26,5.63,3.63,2.54,5.01,5.05
0049FADEXPvAibaEXe8CGo5TJgW8f6CCqn1angwp,19.0,0,75.19813454155285,30.0,8.85,8.85,8.0,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,21.0,0,78.33960814444872,30.0,4.87,4.87,65.0,6.86,5.51,4.85,4.58,3.69,0.0,4.248333333333333,4.248333333333333
004E12B9XPvAibaEXe81r7KrCH0uc0uxBtoBw4BG,20.0,0,75.65553494124923,24.0,3.27,3.27,24.0,4.16,2.7,3.53,0.92,2.96,1.21,2.58,2.58
004F77B3XPvAibaEXe+hgaeObL7HTvumctv2YbLD,19.0,0,81.0,30.0,7.61,7.61,59.0,7.04,7.78,8.06,7.626666666666668,7.626666666666668,7.626666666666668,7.626666666666668,7.626666666666668
005116E7XPvAibaEXe8VdV75E6kcrk07Zn1wf/T8,17.0,0,75.0,24.5,4.47,4.47,63.0,5.15,4.26,5.7,3.32,3.89,3.9,0.1,3.7600000000000002
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,20.0,0,75.65553494124923,30.0,8.09,8.09,133.0,8.61,8.6,8.11,8.92,6.1,8.72,7.28,5.66
005D6433XPvAibaEXe9JJ0DEqozv6JkD0BJUpbna,19.0,0,62.81791285637439,23.5,8.01,8.01,148.0,8.02,6.92,8.55,7.32,8.25,8.63,8.12,8.53
0061CB34XPvAibaEXe+Vkl3c6kHD5JJsLl6yg+xd,19.0,0,75.19813454155285,30.0,8.5,8.5,24.0,8.495000000000001,8.36,8.63,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001,8.495000000000001
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,20.0,0,75.65553494124923,26.0,4.69,4.69,40.0,6.87,4.14,3.25,4.93,2.2,3.34,4.121666666666666,4.121666666666666
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,20.0,0,75.65553494124923,23.5,7.45,7.45,151.0,7.33,7.44,7.29,7.35,6.19,6.88,7.19,3.6
006B0A45XPvAibaEXe+TZKE2gC8nUj96gTN+8Bxy,17.0,0,77.0,27.0,7.65,7.65,148.0,6.82,7.06,7.73,7.42,7.63,8.6,8.44,7.27
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,19.0,0,62.81791285637439,20.75,7.29,7.29,154.0,6.35,6.59,7.15,7.29,7.22,6.98,7.74,7.77
